time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ID_0,.x0,.y0,.z0,.ID_1,.x1,.y1,.z1,.ID_2,.x2,.y2,.z2,.ID_3,.x3,.y3,.z3,.ID_4,.x4,.y4,.z4,.ID_5,.x5,.y5,.z5,.ID_6,.x6,.y6,.z6,.ID_7,.x7,.y7,.z7
2022/02/26/23:59:28.149651,5722,1645937968,148760080,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.155433014035,0.152957648039,0.145908728242,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.324446231127,0.30447819829,0.0754097178578
2022/02/26/23:59:28.279838,5723,1645937968,279175996,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.152841627598,0.156614333391,0.144041255116,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.320877999067,0.308971107006,0.0721385776997
2022/02/26/23:59:28.411465,5724,1645937968,410866975,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.150029361248,0.160400465131,0.142517417669,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.316501766443,0.314306110144,0.0696620866656
2022/02/26/23:59:28.545295,5725,1645937968,544414043,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.14735339582,0.163415759802,0.141164079309,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.311012476683,0.319588333368,0.0662405416369
2022/02/26/23:59:28.683339,5726,1645937968,681989908,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.145453840494,0.165016040206,0.140694200993,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.305606245995,0.323711931705,0.0634590536356
2022/02/26/23:59:28.806326,5727,1645937968,806030988,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.142869591713,0.166632428765,0.140933603048,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.299593299627,0.327664285898,0.0618541426957
2022/02/26/23:59:28.934557,5728,1645937968,933917999,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.14057828486,0.167415112257,0.1418287009,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.292973518372,0.33110678196,0.0600462444127
2022/02/26/23:59:29.063531,5729,1645937969,63170909,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.139072969556,0.167177408934,0.14360126853,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.287580162287,0.333115130663,0.0593672692776
2022/02/26/23:59:29.195825,5730,1645937969,195430994,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.137124016881,0.1670422405,0.14576010406,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.282190233469,0.33486187458,0.0595906674862
2022/02/26/23:59:29.328493,5731,1645937969,327260017,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.135005682707,0.166956737638,0.147935971618,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.276987612247,0.336681067944,0.0604887604713
2022/02/26/23:59:29.458164,5732,1645937969,457061052,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.133271753788,0.166592597961,0.149887382984,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.273075014353,0.337921202183,0.0619234181941
2022/02/26/23:59:29.592761,5733,1645937969,592144012,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.132362306118,0.165954142809,0.151305288076,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.271218538284,0.337932467461,0.062966324389
2022/02/26/23:59:29.729960,5734,1645937969,729451894,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.130983248353,0.165278077126,0.153837546706,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.269278228283,0.337757885456,0.0656681805849
2022/02/26/23:59:29.865823,5735,1645937969,865546941,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.129923611879,0.164497062564,0.156215235591,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.268561452627,0.33689686656,0.0686766803265
